area,id,lat,lon,name,elevation
2171.482746,461597573,18.4899898,-74.4542113,Health care,24.58189392
838.0395722,111447496,18.6358745,-74.1859781,Health care,516.2984009
84.45867564,49238839,18.3068753,-74.2166242,Les Anglais,14.35234165
255.3401822,50127945,18.4714874,-73.9433369,HOPITAL SAINT AGNES DE BEAUMONT,596.8355103
1085.741373,445374620,18.1099488,-73.9391694,Klinik Timoun Nou Yo,28.64402962
686.3631392,49223635,18.0779136,-73.9175096,MHDR (PORT SALUT),17.43917656
2520.665901,485166943,18.2192712,-73.7657483,Hopital OFATMA,23.11593819
2924.408924,550678422,18.4723433,-73.6572123,Hopital des Soeurs,19.71700096
3557.303392,550678426,18.4606299,-73.6701355,Abandoned Government hospital,29.8791008
539.0514957,48418846,18.526478,-73.5078579,HíÇpital de Petit Trou De Nippes,7.503097534
871.5268773,447774685,18.4186917,-73.1450805,CAL DE PAILLANT Hopital Notre Dame de la Victoire de Pailland,681.3554077
94.71593082,103303279,19.7453833,-73.0188976,Health care,184.9031219
70.7095889,103303293,19.6668628,-73.0219796,Health care,44.87623596
13.74908673,103303289,19.7261658,-72.9676184,Health care,648.076355
9.427945187,103303300,19.7180352,-72.9443874,Health care,759.9766235
7.354670204,103303259,19.717034,-72.9179589,Health care,607.8660278
871.5268773,445068674,18.8340923,-72.8627635,Health care,18.83270836
1298.524858,48564191,19.946933,-72.8225496,CENTRE DE SANTE SOLEIL,10.64007473
871.5268773,48557757,19.9357807,-72.8330915,Hopital Immaculee Conception (HIC),28.13754654
3448.183656,130506153,19.9447518,-72.7754304,Health care,20.81302643
2553.401822,189705841,19.9342587,-72.7302884,Hopital autrichien de Saint-Louis du nord,11.66632462
417.9285887,100320148,19.4632295,-72.7069708,Health care,10.18155956
724.5550468,141694882,19.1137618,-72.698931,HíÇpital Saint Nicolas,11.64633179
278.2553267,49156609,19.001123,-72.7345431,PIERRE CLINIC PAYDEN HEALTH CENTER,43.76977921
1975.067221,95588384,19.6693966,-72.6809047,Hopital almamater de Gros-Morne,212.6010742
142.9468541,49144175,19.6687068,-72.6796822,HOPITAL ALMA MATER DE GROS MORNE,212.603775
871.5268773,48370573,19.4491285,-72.6863093,Health care,7.555983067
1614.972092,97779174,19.5939734,-72.6397492,"Dispensaire de läó»Espí©rance, Terre Blanche",186.282959
1320.348805,48479366,18.5132655,-72.6097032,Health care,35.59743881
806.3948488,49213515,18.5074891,-72.6310783,HOPITAL STE CROIX,22.16782951
307.7176554,49479760,18.5064195,-72.6292645,CENTRE MATERNO INFANTIL DE LEOGANE,21.06570053
197.5067221,189656764,18.511277,-72.6347251,Midic Clinic,17.01455879
715.8254679,248015426,18.5075504,-72.6201821,Klinik Lasante,28.53768349
150.5852356,221673492,19.846544,-72.5227958,HOPE(CORPUS CHRISTI),14.7476778
80.96684409,48358798,18.2356111,-72.5343354,Clinique (Clinic),36.48440933
448.4821148,446786490,18.2355504,-72.5361339,Health care,31.63860703
871.5268773,531749583,18.2383767,-72.5410726,Hopital Saint-Michel,23.0724926
877.3226771,94990567,19.1215197,-72.4772737,Health care,44.53710938
871.5268773,48429827,19.0736448,-72.4908564,HíÇpital Albert Schweitzer (HAS),62.90179825
126.5788937,169622320,18.5438508,-72.4472313,DISPENSAIRE ZEV ATISAN LAPE,1.664455056
871.5268773,48307336,18.5323996,-72.3648129,Simbi International,4.721805573
1691.355907,48655722,18.5314251,-72.3860737,HOPITAL ADVENTISTE D'HAITI,24.42982101
249.8841954,49549670,19.6832647,-72.3193453,Centre de Sante Notre Dame de la Nativite Acul-du-Nord,51.72120667
288.0761029,230479862,19.3750022,-72.3350554,Hopital Bon Berger,435.3927002
871.5268773,269114943,19.3616446,-72.3237161,A Bientot (L'Hopital SMA),418.5613098
871.5268773,373802046,19.3748443,-72.3350635,Health care,435.2836609
3284.504053,374223399,19.3761728,-72.3363512,H,435.2862854
2062.36301,269114946,19.3607876,-72.3218462,Health care,418.6774902
289.1673003,48323076,18.58156,-72.3272832,Hospital Medicos Sem Fronteiras,4.073048592
54.0142693,81368075,18.5629174,-72.313163,Health care,40.88537216
53.79602983,81368090,18.5628467,-72.3131545,Health care,40.48551178
53.79602983,81368103,18.5629519,-72.3133172,Health care,39.83551788
53.79602983,81368116,18.5629489,-72.3132243,Health care,40.71802521
80.85772435,81369504,18.5635526,-72.3340183,Health care,10.46034336
90.56938085,81369571,18.5611095,-72.3380928,MSF,7.546532631
8.260364012,82228659,18.5644877,-72.3207082,Health care,26.93112755
72.89198362,82228701,18.5647547,-72.3207553,Health care,25.9813118
176.7739723,528728523,18.5838608,-72.3386101,Health care,1.864496827
294.6232871,540756702,18.5835892,-72.338268,Health care,1.497399807
833.6747828,540756704,18.5838261,-72.338495,Health care,1.656460166
2389.722218,48215556,18.5387573,-72.325612,Centre Hospitalier de la Rue Berne,71.93023682
871.5268773,48237425,18.5376696,-72.3496352,GHESKIO,3.333811045
